Date,Time,cow-a (black),cow-a (black) (detection confidence),cow-a (black) (Activity confidence),cow-a (black) (iou),cow-a (black) (flag),cow-b (white-pattern),cow-b (white-pattern) (detection confidence),cow-b (white-pattern) (Activity confidence),cow-b (white-pattern) (iou),cow-b (white-pattern) (flag),cow-c (black-pattern),cow-c (black-pattern) (detection confidence),cow-c (black-pattern) (Activity confidence),cow-c (black-pattern) (iou),cow-c (black-pattern) (flag)
28/6/2024,17.39.10,stand,0.782880902,0.74147445,0.891293131,0,stand,0.863567293,0.901045918,0.907601121,0,stand,,0.696956098,0.721975865,3.1
28/6/2024,17.39.11,drinking,0.814221084,0.529013216,0.638349193,0,stand,0.873924971,0.886297405,0.932862758,0,stand,,0.767421901,0.726248859,3.1
28/6/2024,17.39.12,stand,0.789877653,0.839118481,0.8551397,0,stand,0.874110878,0.894702196,0.927543664,0,stand,0.712636232,0.795008898,0.783758447,0
28/6/2024,17.39.13,stand,0.717468441,0.85798198,0.879887598,0,stand,0.871135235,0.888746679,0.932877575,0,stand,0.72101593,0.810895622,0.802394816,0
28/6/2024,17.39.14,stand,,0.590099871,0.529039925,3.1,stand,0.806007624,0.902041376,0.948085958,0,stand,,0.78423804,0.736822641,3.1
28/6/2024,17.39.15,maybe stand (0.38),,,0,3.2,propping,0.738273382,0.516264677,0.920304208,0,stand,0.624052346,0.837945759,0.816343875,0
28/6/2024,17.39.16,stand,0.82404393,0.888112605,0.922396207,0,stand,0.846844077,0.906540513,0.924024098,0,stand,,0.672737658,0.638755959,3.1
28/6/2024,17.39.17,stand,0.746707141,0.917570353,0.80622568,0,stand,0.837157428,0.88618201,0.893156126,0,stand,0.612465143,0.734378338,0.688937212,0
28/6/2024,17.39.18,stand,0.778869331,0.847677171,0.796027776,0,stand,0.827359498,0.879802108,0.941072529,0,stand,0.631412327,0.778583407,0.788360878,0
28/6/2024,17.39.19,stand,0.871271968,0.833547115,0.957879969,0,stand,0.823292732,0.873261929,0.814622547,0,stand,0.634891093,0.783931971,0.839604272,0
28/6/2024,17.39.20,stand,0.691526055,0.604371786,0.940614552,0,stand,0.802181661,0.886179209,0.806154138,0,stand,0.665934265,0.766518176,0.813804783,0
28/6/2024,17.39.21,stand,0.576910853,0.723425925,0.811131344,0,stand,0.672071934,0.746707082,0.825532541,0,stand,,0.766518176,0,2
28/6/2024,17.39.22,stand,0.738431454,0.780249417,0.93699116,0,stand,0.779451668,0.831618905,0.907215456,0,stand,0.569368601,0.766518176,0.43311801,1.1
28/6/2024,17.39.23,stand,0.685360014,0.529021502,0.947520483,0,stand,0.58249414,0.840144098,0.831459622,0,stand,0.591071725,0.716380656,0.809457003,0
28/6/2024,17.39.24,stand,0.764821768,0.862020612,0.9599714,0,stand,0.706250787,0.817485094,0.920777516,0,stand,0.700796545,0.802520514,0.871592277,0
28/6/2024,17.39.25,stand,0.645299911,0.862509668,0.840528096,0,stand,0.593279064,0.796226561,0.77610701,0,stand,0.669051409,0.815702736,0.868429291,0
28/6/2024,17.39.26,stand,0.749508917,0.835279703,0.865141261,0,stand,0.803740501,0.817851841,0.878438152,0,stand,0.710182428,0.841915011,0.870472393,0
28/6/2024,17.39.27,stand,0.721106648,0.83809191,0.698958227,0,stand,0.823332071,0.684724152,0.887134444,0,stand,0.759225428,0.860929012,0.967409469,0
28/6/2024,17.39.28,stand,0.697193384,0.878926575,0.877745575,0,stand,0.782595992,0.81353271,0.894432458,0,stand,0.753051937,0.848080099,0.891422334,0
28/6/2024,17.39.29,stand,0.658783495,0.823505044,0.870677488,0,stand,,0.81353271,0,2,stand,0.757666349,0.837890863,0.87377217,0
28/6/2024,17.39.30,ride,0.666705549,0.620899796,0.885016635,0,"maybe stand (0.66), maybe stand (0.54)",,,0,3.2,stand,,0.540008307,0.898028025,3.1
28/6/2024,17.39.31,ride,0.767941296,0.650965393,0.840976461,0,stand,,0.81353271,0,2,stand,,0.540008307,0,2
28/6/2024,17.39.32,ride,0.581490278,0.52133131,0.788451861,0,maybe stand (0.71),,,0,3.2,stand,,0.707639754,0.357013981,3.1
28/6/2024,17.39.33,stand,0.798879683,0.718786657,0.457265335,0,stand,0.729902446,0.889330864,0.82351337,0,ride,,0.492134064,0.35565327,3.1
28/6/2024,17.39.34,stand,0.679624557,0.515437007,0.467968802,0,maybe ride (0.33),,,0,3.2,stand,0.776452363,0.878195465,0.876027857,0
28/6/2024,17.39.35,stand,0.77131319,0.81042397,0.84966176,0,stand,0.687424004,0.790872335,0.949418884,0,stand,0.656336069,0.832174718,0.855349228,0
28/6/2024,17.39.36,stand,0.58946681,0.81042397,0.681404666,1.1,stand,0.818282008,0.869869769,0.921022109,0,stand,0.604950964,0.847011268,0.805286118,0
28/6/2024,17.39.37,stand,0.662438333,0.81042397,0.66247161,1.1,stand,0.874336839,0.880959451,0.970281011,0,stand,0.642572999,0.849249184,0.881753157,0
28/6/2024,17.39.38,stand,0.646298707,0.688216507,0.868754817,0,stand,0.876010656,0.878659487,0.870639339,0,stand,0.684309959,0.849132657,0.764198297,0
28/6/2024,17.39.39,stand,0.569452882,0.688216507,0.805455386,1.1,stand,0.872726977,0.873155177,0.951176917,0,stand,0.626367927,0.851654291,0.870328102,0
28/6/2024,17.39.40,propping,0.756040096,0.867119551,0.943507973,0,stand,0.845235646,0.885436654,0.870034464,0,stand,0.686731756,0.850971997,0.887906192,0
28/6/2024,17.39.41,stand,0.636640608,0.595965028,0.91515212,0,stand,0.842313945,0.895338774,0.88980935,0,stand,0.676056743,0.857639432,0.871137392,0
28/6/2024,17.39.42,stand,0.732271492,0.595965028,0.868007134,1.1,stand,0.837629676,0.892093897,0.883794861,0,stand,0.680052578,0.847179055,0.825794052,0
28/6/2024,17.39.43,stand,0.769415081,0.834642172,0.9039061,0,stand,0.846422374,0.893416941,0.884152643,0,stand,0.716149032,0.857273519,0.89315854,0
28/6/2024,17.39.44,stand,0.795898497,0.76958859,0.889339554,0,stand,0.869347513,0.886093557,0.950220381,0,stand,0.702102602,0.838588655,0.849600687,0
28/6/2024,17.39.45,stand,0.781472147,0.819812953,0.941218244,0,stand,0.843592703,0.878470242,0.948833562,0,stand,0.70199126,0.857915282,0.84213024,0
28/6/2024,17.39.46,stand,0.802734375,0.774648845,0.943923926,0,stand,0.836716056,0.873687208,0.912568625,0,stand,0.762742102,0.873942435,0.825233609,0
28/6/2024,17.39.47,stand,0.764403999,0.716653585,0.881467686,0,stand,0.836761773,0.856307745,0.912649673,0,stand,0.81287992,0.911624849,0.877521153,0
28/6/2024,17.39.48,stand,0.757772505,0.795285583,0.949809627,0,stand,0.841854692,0.883550048,0.941039112,0,stand,0.807955682,0.846186757,0.847780652,0
28/6/2024,17.39.49,stand,0.759749591,0.672002196,0.842960389,0,stand,0.843452871,0.851470411,0.905384116,0,stand,0.78352195,0.868303835,0.837075555,0
28/6/2024,17.39.50,stand,,0.672002196,0,2,stand,0.837563276,0.842274904,0.918568668,0,stand,0.680150747,0.748655319,0.941802301,0
28/6/2024,17.39.51,stand,0.802785158,0.793077171,0.622330452,0,stand,0.827355862,0.786779583,0.89216232,0,stand,0.740165651,0.893442273,0.871823466,0
28/6/2024,17.39.52,stand,0.744075179,0.819906533,0.943489682,0,stand,0.824766755,0.793408692,0.929202332,0,stand,0.723278224,0.791937411,0.812731627,0
28/6/2024,17.39.53,stand,0.770836473,0.80297333,0.9609084,0,stand,0.835244536,0.744218349,0.91392212,0,stand,0.700880706,0.834502757,0.830305237,0
28/6/2024,17.39.54,stand,0.638808548,0.748283863,0.631380736,0,propping,0.845445156,0.676950157,0.771892304,0,stand,0.787234426,0.883912802,0.922641004,0
28/6/2024,17.39.55,stand,0.628859699,0.725174308,0.675023573,0,stand,0.837961078,0.667718589,0.862320517,0,stand,0.733752966,0.849535882,0.641731797,0
28/6/2024,17.39.56,stand,0.665192187,0.748566329,0.909395698,0,stand,0.824840307,0.854124248,0.931652181,0,stand,0.711795747,0.832072854,0.895311635,0
28/6/2024,17.39.57,stand,,0.704055607,0.685794937,3.1,stand,0.848175526,0.882056415,0.96381217,0,stand,0.658983648,0.875904083,0.790885763,0
28/6/2024,17.39.58,stand,0.668556452,0.750984788,0.856183525,0,stand,0.85716784,0.882527649,0.923854149,0,stand,0.698449373,0.863037586,0.758476269,0
28/6/2024,17.39.59,stand,,0.785578907,0.74325209,3.1,stand,0.859287679,0.890046418,0.896841307,0,stand,0.568852544,0.8444224,0.583722506,0
28/6/2024,17.40.00,stand,0.705364764,0.737684429,0.912503025,0,stand,0.856037736,0.892994761,0.880740075,0,stand,,0.589111328,0.375128819,3.1
28/6/2024,17.40.01,stand,0.654861867,0.773188293,0.917370591,0,stand,0.852009177,0.887048364,0.876302144,0,stand,0.621320367,0.831381023,0.81253882,0
28/6/2024,17.40.02,stand,0.817569911,0.780274928,0.925047241,0,stand,0.863563895,0.889060259,0.860214058,0,stand,0.793061376,0.890211701,0.921323342,0
28/6/2024,17.40.03,stand,0.815511405,0.773648202,0.928598731,0,stand,0.801617086,0.877749026,0.896181099,0,stand,0.710270405,0.881319344,0.892988582,0
28/6/2024,17.40.04,stand,,0.757052839,0.816585779,3.1,stand,0.807043493,0.549854517,0.83400045,0,stand,0.751230001,0.869726181,0.888978494,0
28/6/2024,17.40.05,stand,0.779780269,0.823967814,0.868264631,0,stand,0.802405298,0.769233108,0.978039879,0,stand,0.77344054,0.852662086,0.890012938,0
28/6/2024,17.40.06,stand,0.690271139,0.860889256,0.872616611,0,stand,0.804028451,0.858887017,0.973596465,0,stand,0.782012701,0.865679383,0.87794324,0
28/6/2024,17.40.07,stand,,0.761510432,0.750693754,3.1,stand,0.790631175,0.831384659,0.930799085,0,stand,0.817082703,0.895834744,0.934318538,0
28/6/2024,17.40.08,stand,,0.518207371,0.549431532,3.1,stand,0.811419189,0.865691245,0.859374971,0,stand,0.809657514,0.896727502,0.950981297,0
28/6/2024,17.40.09,stand,,0.741789877,0.538146017,3.1,stand,0.787726164,0.85308671,0.900921151,0,stand,0.819658995,0.9123438,0.88818234,0
28/6/2024,17.40.10,stand,,0.778561234,0.509860383,3.1,stand,0.740825653,0.841628253,0.74820944,0,stand,0.821708441,0.90773195,0.947420626,0
28/6/2024,17.40.11,stand,,0.480950177,0.478361866,3.1,stand,0.74591291,0.86003238,0.776600281,0,stand,0.806953251,0.897325397,0.909108409,0
28/6/2024,17.40.12,stand,,0.651636362,0.500518644,3.1,stand,0.725189924,0.843922913,0.82695042,0,stand,0.810664117,0.894254148,0.958216073,0
28/6/2024,17.40.13,stand,,0.664591312,0.508858746,3.1,stand,0.735376537,0.831241131,0.843722572,0,stand,0.801328659,0.895825326,0.942945553,0
28/6/2024,17.40.14,stand,,0.633137822,0.494973417,3.1,stand,0.7500543,0.833368182,0.863156041,0,stand,0.798005044,0.902041793,0.897148475,0
28/6/2024,17.40.15,stand,,0.629602253,0.496006229,3.1,stand,0.752953768,0.836872995,0.847492005,0,stand,0.787855804,0.900358438,0.897931399,0
28/6/2024,17.40.16,stand,,0.663081169,0.510230852,3.1,stand,0.761108875,0.83822155,0.822755791,0,stand,0.771851599,0.890911877,0.879813886,0
28/6/2024,17.40.17,stand,,0.694042921,0.521160365,3.1,stand,0.760774016,0.835315287,0.813823352,0,stand,0.769007027,0.89407444,0.887449928,0
28/6/2024,17.40.18,stand,,0.702975273,0.520236063,3.1,stand,0.761045098,0.832032084,0.816444051,0,stand,0.762592256,0.891843557,0.891262832,0
28/6/2024,17.40.19,stand,,0.675700068,0.528331575,3.1,stand,0.780639172,0.851859987,0.757962128,0,stand,0.796077549,0.880464256,0.919145125,0
28/6/2024,17.40.20,stand,,0.648251712,0.530710767,3.1,stand,0.778326631,0.855497241,0.758452249,0,stand,0.774810135,0.907308936,0.876157955,0
28/6/2024,17.40.21,stand,,0.680221319,0.543571631,3.1,stand,0.776577115,0.855340183,0.775821645,0,stand,0.775848389,0.906923592,0.891104564,0
